repo,pr_number,titulo,descricao,categoria
accumulo,2496,Modify ZooKeeperTestingServer to use Junit TemporaryFolder,"Modify ZooKeeperTestingServer to use Junit TemporaryFolder
for creating the ZooKeeper data directory instead of /tmp.
Related to #2474",REF
accumulo,3154,Modify FilePrefix.fromPrefix to be more dynamic,,REF
accumulo,1945,Create readTablets method in Ample. Closes #1473,"Modify TabletsMetadata to impl readTablets in Ample
Modify classes calling TabletsMetadata to pass the client object as
part of the builder init, instead of the final build method
Add testAmpleReadTablets to MetadataIT

Co-authored-by: cradal 20303105+cradal@users.noreply.github.com
Updated version of #1651",REF
commons-collections,317,moved IndexFilter to its own file.,Partial fix for Collections 821,REF
helix,2392,check connnect only called once,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

#2393
Description

 Here are some details about my PR, including screenshots of any UI changes:
This change adds an extra check in ZkClient.connect so that it will only be invoked once.
Also avoid close called in between of isclosed check and connection establishment in connect().

Tests

 The following tests are written for this issue:

NA

The following is the result of the ""mvn test"" command on the appropriate module:

[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 337.691 s - in org.apache.helix.rest.server.TestResourceAssignmentOptimizerAccessor
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0
[INFO] 


Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
accumulo,2490,Changes to ExternalCompaction ITs,"Added CompactionCoordinator and Compactor to MiniAccumuloCluster. Modified ITs
to extend SharedMiniClusterBase so that MAC was not being restarted for each
test method.",REF
accumulo,4201,fixes periodic failure with CompactionIT,The test CompactionIT.testConcurrentSplit() would periodically fail because it relied on the old behavior of WaitFor.  Changed the test to use custom code that waits up to three seconds for a condition to be met and then continues.,BUG
helix,1620,Per Replica Throttle -- 1st: Skeleton implementation with output message same as input,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

enhance #343; first part skeleton.
Description

 Here are some details about my PR, including screenshots of any UI changes:

First part of Per Replica throttling, skeleton.
Per replica throttling replacing intermediate stage which is partition based. The finer granularity
would skip boosting unnecessary replica in a recovery partition.
Tests

 The following tests are written for this issue:

(List the names of added unit/integration tests)

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
accumulo,2987,Fixes for new Admin fate command,Closes #2974,BUG
accumulo,2895,Improvements to AESCryptoService,"Reduce Cipher.getInstance calls to once per file vs once per block
Move wrap cipher to ThreadLocal thread
Add flush at the end of createCryptoParameters() before returning the byte array
Add logger and init checks",REF
helix,2352,Refactoring MetaClient Exceptions,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

N/A
Description

 Here are some details about my PR, including screenshots of any UI changes:

Moving exception classes into a separate package: org.apache.helix.metaclient.exception
Tests

 The following tests are written for this issue:

(List the names of added unit/integration tests)

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
helix,2555,ZkClient - only register one time watcher for read data when not using persist listener.,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

#2554
Description

 Here are some details about my PR, including screenshots of any UI changes:

Fix issue 2554.
ZkClient tries to resubscribe one time watcher when reading an entry that has listener subscribed. In metaclient use case, we do not need to resubscribe as we are using persist watcher.
This change checks is persist watcher label is true. Only resubscribe if not using persist watcher.
Tests


 The following tests are written for this issue:
TestZkMetaclient.testChangeListener()
This new test was constantly failing before the fix.


The following is the result of the ""mvn test"" command on the appropriate module:


(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",BUG
accumulo,3659,"make option exclude-parent-properties, other minor clean-up","Change command option from exclude-parent to exclude-parent-properties for clarity.
clarify command description present to uses
comment clean-up

From additional comment in PR #3562 made after merge.",REF
helix,2333,Prepare zkclient for meta-client DataChangeListener implementation,"Issues

 My PR addresses the following Helix issues and references them in the PR description:
N.A.

Description

 Here are some details about my PR, including screenshots of any UI changes:
Some new features and improve in zookeeper-api to prepare meta-client implementation.


Add a new method in IZkDataListener and a converter class in ZkMetaClient so that it's easier to reuse existing zkclient.
Implement connectOnInit flag (backward compatible) to control whether zkclient should connect during initialization. (Meta-client API will require a separate connect() method to be called explicitly to connect.)
Minor change in the code flow, constructor and ZkClientMonitor.

Tests


 The following tests are written for this issue:


The following is the result of the ""mvn test"" command on the appropriate module:
[INFO] Reactor Summary for Apache Helix 1.0.5-SNAPSHOT:
[INFO]
[INFO] Apache Helix ....................................... SUCCESS [  3.743 s]
[INFO] Apache Helix :: Metrics Common ..................... SUCCESS [  4.606 s]
[INFO] Apache Helix :: Metadata Store Directory Common .... SUCCESS [  3.312 s]
[INFO] Apache Helix :: ZooKeeper API ...................... SUCCESS [  6.523 s]
[INFO] Apache Helix :: Helix Common ....................... SUCCESS [  2.037 s]
[INFO] Apache Helix :: Core ............................... SUCCESS [ 18.894 s]
[INFO] Apache Helix :: Admin Webapp ....................... SUCCESS [  2.963 s]
[INFO] Apache Helix :: Restful Interface .................. SUCCESS [  6.143 s]
[INFO] Apache Helix :: Distributed Lock ................... SUCCESS [  1.735 s]
[INFO] Apache Helix :: HelixAgent ......................... SUCCESS [  2.277 s]
[INFO] Apache Helix :: Recipes ............................ SUCCESS [  0.043 s]
[INFO] Apache Helix :: Recipes :: Rabbitmq Consumer Group . SUCCESS [  2.419 s]
[INFO] Apache Helix :: Recipes :: Rsync Replicated File Store SUCCESS [  2.026 s]
[INFO] Apache Helix :: Recipes :: distributed lock manager  SUCCESS [  2.317 s]
[INFO] Apache Helix :: Recipes :: distributed task execution SUCCESS [  2.331 s]
[INFO] Apache Helix :: Recipes :: service discovery ....... SUCCESS [  2.548 s]
[INFO] Apache Helix :: View Aggregator .................... SUCCESS [  1.638 s]
[INFO] Apache Helix :: Meta Client ........................ SUCCESS [  1.241 s]
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:08 min
[INFO] Finished at: 2023-01-05T13:18:08-05:00
[INFO] ------------------------------------------------------------------------


(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
wicket,604,[WICKET-7070] quickstart should be fixed,,BUG
helix,2488,add leader election API and dummy class,"Issues

 My PR addresses the following Helix issues and references them in the PR description:
#2237

Description

 Here are some details about my PR, including screenshots of any UI changes:

This change adds leader election API and dummy class
Tests

 The following tests are written for this issue:

(List the names of added unit/integration tests)

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REQ
helix,2470,code clean up - debug log format,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

#1521
Description

 Here are some details about my PR, including screenshots of any UI changes:

We no longer need to do isDebugEnabled check in slf4j.Logger. It is already had performance improvement integrated.
Tests

 The following tests are written for this issue:

NA

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
struts,477,[WW-5119] Fix: remove contention during localized text lookup (JDK 1.7+),"Backport of pull request #476 for Struts 2.5.x (JDK 1.7 still supported in this branch).
The ConcurrentHashMap.newKeySet() usage (available only in JDK 1.8+) is replaced by a ConcurrentHashMap<String,Boolean> to guarantee JDK 1.7 compatibility.
Fixes WW-5119",BUG
accumulo,3723,increases max wait time for ZK update retry,,REF
accumulo,3870,Use prevEndRow from Extent in ConditionalTabletMutator,Fixes #3356,BUG
accumulo,2646,Replace iterator usage,"I was looking through places where the use of Scanner.Iterator might be improved by using the new Scanner.stream method and found a few patterns to replace that seemed worth-while.

In a lot of places, we create an interator, assert that the iterator hasNext, get the next entry, compare that entry to what we expect it to be, then assert that hasNext is false. All this to make sure there is just one entry. To simplify I changed these places to .stream().collect(onlyElement()) and then perform the assertEquals on the single returned value.
Convert Iterators.size(s.iterator()) == 0 -> s.stream().findAny().isEmpty()
Convert Iterators.size(s.iterator()) > 0 -> s.stream().findAny().isPresent()

I also wanted to see if anyone had an opinion on which of the following equivalent options is better:

scanner.stream().map(Entry::getValue).map(Value::get).map(String::new).map(Integer::parseInt).collect(onlyElement());
scanner.stream().map(entry -> Integer.parseInt(new String(entry.getValue().get()))).collect(onlyElement());

I have both in these changes. To me, one does not seem significantly, different/more readable than the other so I thought I would ask.",REF
struts,861,[WW-5388] Uses the latest JakartaEE FileUpload Servlet 6 package,Closes WW-5388,REF
accumulo,1346,Java 11 improvements to ConditionalWriterImpl,,REF
accumulo,1404,Add example of client to javadoc,,REF
accumulo,3977,Mark TabletStatistics.getSplitCreationTime as deprecated,,REF
commons-lang,269,LANG-1337: Fix test failures in IBM JDK 8 for ToStringBuilderTest by specifying the ArrayList initial capacity.,"See https://issues.apache.org/jira/browse/LANG-1337 for issue description and explanation of the changes here.
In summary, we specify the ArrayList's initial capacity, this way the String built through reflection has the expected value. Tested with Oracle JDK 7 and 8, and IBM JDK 8.",BUG
accumulo,3599,Replace ConcurrentHashMap with Caffine cache for configs,Using a cache instead of a map to ensure that configs are eventually cleaned up on deletions. The issue was raised in PR #3588,REF
commons-io,468,Spelling,"https://issues.apache.org/jira/browse/IO-806
This PR corrects misspellings identified by the check-spelling action.
The misspellings have been reported at https://github.com/jsoref/commons-io/actions/runs/5662536320#summary-15342653080
The action reports that the changes in this PR would make it happy: https://github.com/jsoref/commons-io/actions/runs/5662536436#summary-15342654674

I can fix the summaries to match the requested style, but at the moment I'm all out of available jobs and I'm waiting for the current jobs to finish.",BUG
accumulo,3036,speed up test using shared cluster instance,"This only changes the PropStoreSonfigIT test, with no other code changes.  Using a shared min instance in this test speeds up the my test runs by about 60 to 90 seconds and now completes in around 3:30.",REF
accumulo,2462,Added FaTE TStatus.SUBMITTED,"When a FaTE transaction is created in the Manager its status is set
to IN_PROGRESS even though it's not actually running, it could be
waiting to run. The output from the fate print command will show
that the newly created transaction is IN_PROGRESS and could be
confusing to users. This change introduces the SUBMITTED state, which
is the state of the transaction after it has been created but before
it is executed.",REQ
accumulo,2615,Add details to ZooKeeper watcher logs,"Add more details to the log messages produced while processing ZooKeeper
WatchedEvents. Also, try to standardize some messages by adding the
event at the end, after whatever core message is conveyed. Most of the
time, we won't see these messages, but it definitely helps to have
greater insight into what event triggered the situation, rather than
picking out and printing only certain details from the WatchedEvent.",REF
accumulo,2937,Combine CleanZookeeper and DeleteZooInstance utilities,"Combine the CleanZookeeper utility, which will delete all old instances, and the DeleteZooInstance utility, which deletes a single instance, into one utility class and use a flag to determine which action to take.
This is a follow on to #2807 and replaces PR #2925",REF
accumulo,3032,Handle closed filesystem,,BUG
helix,2710,Prevent the spectator routing table from containing SWAP_IN instances,"Issues

 not populate SWAP_IN replicas in routing tables until SWAP is completed to avoid spectator serving traffic for replicas on the swapping in instance. #2662

Description
During a swap operation, we are essentially creating a mirror node which is labeled with the SWAP_IN instance operation. Until the point that the swap operation is complete we do not want to serve traffic to this node. To achieve this, the RoutingDataCache will have a notion of routableInstanceConfigs and routableLiveInstances.
Only these nodes are used to create the routingTables. At this time, only SWAP_IN instances are considered not to be routable.
Tests

 Updated the swap tests in TestInstanceOperation to include starting a spectator and validating the EV, CS, and Default routing tables.

All TestInstanceOperation tests are passing.
Changes that Break Backward Compatibility (Optional)
NA
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",BUG
struts,559,WW-5184 - Add optional parameter value check to ParametersInterceptor,"Implements WW-5184

Add optional parameter value check to ParametersInterceptor
Add Unit Tests",REQ
accumulo,4115,Fix ImportConfiguration.builder().setKeepOffline(),"Fixes #4045
This PR adds logic to properly transition the state of a new table created via importTable() to offline (or online) depending on the value supplied via the ImportConfiguration.
This was corrected by the change in FinishImportTable where the table was never transitioned from the NEW to OFFLINE table state when the (then onlineTable) param was set.
Other changes:

added a check in the IT to make sure the new table is in the OFFLINE state instead of just ""not online""
renamed the member variable from onlineTable to keepOffline for clarity and consistency",BUG
accumulo,2794,Wait for server process to notice property changes in MiniAccumuloClusterTest,"MiniAccumuloClusterTest.testPerTableClasspath is intermittently failing with
a MutationsRejectedException when the BatchWriter is closed because the TabletServer
is not seeing property changes made in the test right before the BatchWriter is
created. This change introduces a small sleep in an attempt to allow the
TabletServer to react to the configuration changes before the BatchWriter is used
in the test thread.",BUG
helix,2666,Fix flaky tests org.apache.helix.rest.metadatastore.TestZkMetadataStoreDirectory (#2645),"Issues

 My PR addresses the following Helix issues and references them in the PR description:

Fixes #2645
Description
Sets return the elements in a non-deterministic order, which means that this assertion is not correct, because it checks whether the collections contain the same elements in the same order. This leads to a flack test. To fix this problem, the assertion has been rewritten to check if the collections contain the same amount of elements as well as booth collections contain all values of the other collection.
Tests that cause problems:


  
    
      helix/helix-rest/src/test/java/org/apache/helix/rest/metadatastore/TestZkMetadataStoreDirectory.java
    
    
        Lines 133 to 141
      in
      5f1a3f7
    
  
  
    

        
          
           public void testGetAllMetadataStoreRealms() { 
        

        
          
             Set<String> realms = new HashSet<>(); 
        

        
          
             realms.add(TEST_REALM_1); 
        

        
          
             realms.add(TEST_REALM_2); 
        

        
          
            
        

        
          
             for (String namespace : _routingZkAddrMap.keySet()) { 
        

        
          
               Assert.assertEquals(_metadataStoreDirectory.getAllMetadataStoreRealms(namespace), realms); 
        

        
          
             } 
        

        
          
           } 
        
    
  


and

  
    
      helix/helix-rest/src/test/java/org/apache/helix/rest/metadatastore/TestZkMetadataStoreDirectory.java
    
    
        Lines 144 to 152
      in
      5f1a3f7
    
  
  
    

        
          
           public void testGetAllShardingKeys() { 
        

        
          
             Set<String> allShardingKeys = new HashSet<>(); 
        

        
          
             allShardingKeys.addAll(TEST_SHARDING_KEYS_1); 
        

        
          
             allShardingKeys.addAll(TEST_SHARDING_KEYS_2); 
        

        
          
            
        

        
          
             for (String namespace : _routingZkAddrMap.keySet()) { 
        

        
          
               Assert.assertEquals(_metadataStoreDirectory.getAllShardingKeys(namespace), allShardingKeys); 
        

        
          
             } 
        

        
          
           } 
        
    
  


This problem was found by the NonDex Engine – to reproduce run
mvn -pl helix-rest edu.illinois:nondex-maven-plugin:2.1.1:nondex -Dtest=org.apache.helix.rest.metadatastore.TestZkMetadataStoreDirectory
Solution
Replace the assertions with a custom matcher, which checks if the sets contain the same elements without taking care of the order of the elements returned by the set.
Custom Matcher:


  
    
      helix/helix-rest/src/test/java/org/apache/helix/rest/metadatastore/TestZkMetadataStoreDirectory.java
    
    
        Lines 378 to 383
      in
      9cd4181
    
  
  
    

        
          
           private void assertCollectionsContainSameElementsIgnoringOrder(Collection<String> collection1, 
        

        
          
            Collection<String> collection2) { 
        

        
          
              Assert.assertEquals(collection2.size(), collection1.size()); 
        

        
          
              Assert.assertTrue(collection2.containsAll(collection1)); 
        

        
          
              Assert.assertTrue(collection1.containsAll(collection2)); 
        

        
          
           } 
        
    
  


Tests
No test have been written – one existing test has been updated.

The following is the result of the ""mvn test"" command on the appropriate module:

[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  02:51 min
[INFO] Finished at: 2023-10-04T23:16:04-05:00
[INFO] ------------------------------------------------------------------------",BUG
helix,1583,Fix redundant workflow context updates for finished workflows,"Issues

 My PR addresses the following Helix issues and references them in the PR description:
Fixes #1582

Description

 Here are some details about my PR, including screenshots of any UI changes:
If the workflow has been finished before, there is no need to update the workflow context.
In this PR, this behavior has been fixed and optimized.

Tests


 The following tests are written for this issue:
TestContextRedundantUpdates
More test will be added to this file as we move toward reducing context writes


 The following is the result of the ""mvn test"" command on the appropriate module:
Helix-core:


[INFO] Tests run: 1253, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5,396.908 s - in TestSuite
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 1253, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:30 h
[INFO] Finished at: 2020-12-09T00:16:20-08:00
[INFO] ------------------------------------------------------------------------

The failed test is unrelated to this change and is failing even without this PR.
Helix-rest:
[INFO] Tests run: 171, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 103.579 s - in TestSuite
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 171, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:49 min
[INFO] Finished at: 2020-12-09T09:28:35-08:00
[INFO] ------------------------------------------------------------------------

Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",BUG
accumulo,3542,Backported MANAGER_TABLET_GROUP_WATCHER_INTERVAL property,"TabletGroupWatcher prior to this change was hardcoded to wait for 60s between loops looking for tablets that needed some type of maintenance. This property allows the user to configure that potentially making the Manager more responsive to tablets being unassigned or unbalanced.
Fixes #3541",REF
zookeeper,2001,ZOOKEEPER-4697: Add Builder to construct ZooKeeper and ZooKeeperAdmin,"Currently, there are 10 constructor variants for ZooKeeper and 4 for ZooKeeperAdmin. It is enough for us to resort to a builder.
The build method throws IOException to make it a drop-in replacement of existing constructors of ZooKeeper.
This pr also unify body of ZooKeeper constructor to one. Previously, there are diverged to two. One has sessionId and sessionPasswd, and another doesn't have. This pr uses sessionId == 0 to differentiate the two as it is used in server side to differentiate session create and reconnect.",REQ
accumulo,1441,Improve Upgrader9to10 code,"This changes the batching strategy for the Upgrader9to10 class.
The previous strategy was to fill a data structure until JVM memory was
sufficiently used up (50% of heap size), then process the upgrade for
those entries, and repeat until no more entries are left to upgrade.
This new strategy batches candidates for upgrade in batches of size 4
million characters (approx. 8MB batches), regardless of memory.
This stabilizes the testing, as it is much simpler to reproduce and test
fixed-size batches, than it is to manipulate the JVM heap size during
testing. As a result, many improvements to the GCUpgrade9to10TestIT were
made here. This also fixes that IT, which began failing with the use of
the G1GC instead of CMS (#1427), because G1GC didn't work well with a
master configured with a 16MB JVM heap and crashed frequently OOMEs.",REF
accumulo,2969,Add missing chopped column to Ample,Fixes #2961,REQ
helix,2505,Replace deprecated verifier with new set of Verifiers,"Issues

 My PR addresses the following Helix issues and references them in the PR description:
Fixes #2485

Description

 Here are some details about my PR, including screenshots of any UI changes:
While debugging the failure for the test case in DistributedController test case, realized we are using deprecated verifier. So let us first use the right verifier and see if it helps with resolving the temporary failures. These are all integration tests which depends on ZK timing and so not sure if just replacing correct verifier will help. But first order problem is to use right code.

Tests

[] The following tests are written for this issue:

(List the names of added unit/integration tests)

The following is the result of the ""mvn test"" command on the appropriate module:
I created a branch and ran the test 4 times to make sure that there is no regression with using different verifier.
Here is the link to the branch with testing:
desaikomal#2
failure were in different test cases.

Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
accumulo,2756,Add Verify calls to NamespaceConfigurationTest,,REF
commons-lang,933,[LANG-1689] Simple Optional in ObjectUtils#isEmpty(),"Original JIRA ticket (not by me): https://issues.apache.org/jira/projects/LANG/issues/LANG-1689
Method isEmpty in ObjectUtils was modified to return the negation of Optional.isPresent (i.e. !optional.isPresent()) when the passed in object is an Optional.
The object contained within the Optional is not checked if it is also empty. This gives the caller the option to check if it's present (or not) on their own.

For instance, the caller might want to do something like the following:
ObjectUtils.isEmpty(optional) && ObjectUtils.isNotEmpty(optional.get()).",REF
zookeeper,1799,ZOOKEEPER-4453: NettyServerCnxnFactory: allow to configure the early TLS connection drop feature,"add new flag netty.server.earlyDropSecureConnectionHandshakes to turn on/off ZOOKEEPER-3682
disable ZOOKEEPER-3682 by default
add docs
add tests for this patch and for ZOOKEEPER-3682

see https://issues.apache.org/jira/browse/ZOOKEEPER-4453 for more context",REF
accumulo,3912,Fixes handling of incorrect compaction configuration,"An incorrectly configured compaction service would fail to create.  This would cause tables configured to use that service to spam the logs saying the serivce did not exists.  Two changes were made to address this.
First, when a compaction service fails to create its planner plugin it will log an error and fall back to using a new NullPlanner that does nothing.  Once the configuration is fixed and the planner pluging can be created, it will replace the NullPlanner. Falling back to the NullPlanner allows the service to exists and do nothing, this way tables configured to use it do not complain.
Second, when a table is configured to use a compaction service that does not exist repeated logging of this is suppressed per table.  Also the existing code attempted to fall back to the default compaction service but this was not working.  So the fallback code was removed and the log message was adjusted.  Falling back could cause problems if its not what the user desires.
Two ITs were added to test the above situations.",BUG
httpcomponents-client,343,Httpclient-2194 async retries not including body,"https://issues.apache.org/jira/browse/HTTPCLIENT-2194
We found that our async retries were failing because there was no body being set.  Releasing the entityProducer resets the starting point to 0 and resolved the issue for us.",BUG
